task_family,current_score,frontier_weight,remaining_weight,binary_weight
gsm_8k,0.0,0.14753292800232773,0.11964891301766557,0.06329113924050632
hack_container,0.0,0.14753292800232773,0.11964891301766557,0.06329113924050632
tree_traversal_kernel,0.0,0.14753292800232773,0.11964891301766557,0.06329113924050632
data_deduplication,0.0,0.14753292800232773,0.11964891301766557,0.06329113924050632
spn_cryptanalysis,0.0,0.14753292800232773,0.11964891301766557,0.06329113924050632
cuda_backtesting,0.1339752623,0.11064952579423921,0.10361891851221394,0.06329113924050632
ai_rd_fix_embedding,0.4952112343,0.037593115891781215,0.06039742711953406,0.06329113924050632
ai_rd_nanogpt_chat_rl,0.5471794872,0.030251098248727203,0.05417948214862192,0.06329113924050632
smart_contract_exploit,0.5552420173,0.029183438795417075,0.05321480918598471,0.06329113924050632
iclr_authors,0.595,0.02419908851558181,0.04845780977215456,0.06329113924050632
continue_pattern,0.5962,0.024055898956979873,0.04831423107653336,0.06329113924050632
ai_rd_rust_codecontests_inference,0.8147632305,0.0050622473116562925,0.022163378121578866,0.06329113924050632
symbolic_regression,0.9046630551,0.0013409464137673324,0.011406961827710074,0.006329113924050633
env_scientist,0.999979798,6.021125719260045e-11,2.417147340779193e-06,0.006329113924050633
sadservers,1.0,0.0,0.0,0.006329113924050633
munge_data,1.0,0.0,0.0,0.006329113924050633
local_research,1.0,0.0,0.0,0.006329113924050633
web_hacking,1.0,0.0,0.0,0.006329113924050633
local_research_tex,1.0,0.0,0.0,0.006329113924050633
make_web_server,1.0,0.0,0.0,0.006329113924050633
multiarmed_bandit,1.0,0.0,0.0,0.006329113924050633
number_list_steganography,1.0,0.0,0.0,0.006329113924050633
reverse_hash,1.0,0.0,0.0,0.006329113924050633
search_server,1.0,0.0,0.0,0.006329113924050633
oxdna_simple,1.0,0.0,0.0,0.006329113924050633
interpret_data,1.0,0.0,0.0,0.006329113924050633
pico_ctf,1.0,0.0,0.0,0.006329113924050633
request_routing,1.0,0.0,0.0,0.006329113924050633
password_check,1.0,0.0,0.0,0.006329113924050633
acdc_bug,1.0,0.0,0.0,0.006329113924050633
image_labeling,1.0,0.0,0.0,0.006329113924050633
hypothesis_testing,1.0,0.0,0.0,0.006329113924050633
ai_rd_optimize_llm_foundry,1.0,0.0,0.0,0.006329113924050633
ai_rd_restricted_mlm,1.0,0.0,0.0,0.006329113924050633
ai_rd_small_scaling_law,1.0,0.0,0.0,0.006329113924050633
ai_rd_triton_cumsum,1.0,0.0,0.0,0.006329113924050633
alert_triage,1.0,0.0,0.0,0.006329113924050633
arithmetic,1.0,0.0,0.0,0.006329113924050633
audio_classification,1.0,0.0,0.0,0.006329113924050633
auto_days_since,1.0,0.0,0.0,0.006329113924050633
avoid_shutdown,1.0,0.0,0.0,0.006329113924050633
blackbox,1.0,0.0,0.0,0.006329113924050633
code_completion,1.0,0.0,0.0,0.006329113924050633
credit_card_validity,1.0,0.0,0.0,0.006329113924050633
debug_small_libs,1.0,0.0,0.0,0.006329113924050633
esolang,1.0,0.0,0.0,0.006329113924050633
file_recovery,1.0,0.0,0.0,0.006329113924050633
file_selection,1.0,0.0,0.0,0.006329113924050633
gaia,1.0,0.0,0.0,0.006329113924050633
wikipedia_research,1.0,0.0,0.0,0.006329113924050633
